estado	juridica	cnae1	bai.at	bai.fp	ac.at	t.at	v.fp	ac.pc	t.pc	fm.v	pe.pt	cf.pt	fm.at	v.at	v.ac	lnat
1	2	4	.3732591	.774566474	.6128134	.2061281	5.66474	1.333333	.4484848	.05612245	.51810585	.2980501	.1532033	2.729805014	4.454545	5.883322
1	1	4	13.19472	2.166155857	3.923948	.8720281	.0175203	30.65676	6.812923	35.56877	5.75110457	-10.49131	3.795952	.106721479	.02719747	4.81684
1	2	2	.6985394	.718360903	.07687525	.3914047	.07007174	1.418349	7.221422	.3327755	-.60768639	1.31779	.02267475	.068138268	.8863486	7.358681
1	2	2	.06241088	1.09139216	.6205058	.1311056	21.84855	.6581423	.1390577	-.2579701	.94281535	.05244119	-.3223082	1.249401476	2.013521	6.633587
1	1	2	.1737349	.33121342	.01227025	.05761899	.1372939	.2122895	.9968755	-.6322095	-.90171686	.8389168	-.04552934	.072016213	5.869174	5.295032
1	2	2	.4253992	.477736538	.1609128	.1697496	.0761221	2.923444	3.083989	1.561912	-1.10327635	1.300447	.1058706	.067782708	.4212387	7.336252
1	1	1	.715989	.791394633	.331132	.02708708	.02216663	28.86759	2.361412	15.93959	-.27856168	1.060441	.3196613	.020054546	.06056361	5.824308
1	1	1	.4806131	.605983554	.1881645	.0001429235	.02980604	17.84534	.01355473	7.513694	-.81873035	1.339418	.1776203	.023639547	.1256323	7.243763
1	1	5	2.15926	.406912913	1.976342	.03363458	-.08180601	-3.282685	-.05586669	-5.939645	13.50508011	-9.058161	2.578393	-.434098886	-.2196476	4.281737
1	2	0	-.0969859	-20.62745098	.3153655	.08893639	116.114	.3168571	.08935705	-1.245417	.99529821	.01893968	-.6799269	.545943267	1.731144	5.156472
1	2	2	.3255757	1.176938916	.09071616	.01166176	-1.42332	9.172782	1.179181	-.2052829	1.51434825	-.6726654	.08082645	-.393732016	-4.340263	5.468119
1	1	2	.5208912	.73678374	.357017	.05882301	.04892391	15.88881	2.61788	9.672291	-1.37813903	1.989742	.3345473	.034588214	.09688114	10.027937
1	2	2	.03385102	.101085857	.6286952	.06752303	2.324253	1.456163	.1563946	.2530379	.66512608	.1414999	.1969474	.778331567	1.238011	8.151688
1	2	1	.8412594	.729268217	.3310888	.02865648	.0522785	5.202994	.4503309	4.434903	-.13728319	1.178275	.2674545	.06030673	.1821467	7.574239
1	2	5	.01622458	.146966401	1	.06607248	38.27556	1.124096	.07427183	.02612633	.88960346	.0113412	.1103965	4.225489673	4.22549	3.623647
1	2	2	.1790258	.481850334	.050972	.2431429	.1588335	.9773513	4.662088	-.02001608	-.79571483	1.199172	-.001181203	.059012723	1.157748	6.044066
1	1	2	.1802408	.337082986	.01578098	.05179918	.2733294	.09243831	.3034177	-1.060121	-.93455	1.131984	-.1549381	.146151319	9.261232	8.434947
1	1	1	.1283204	.324715615	.3420515	.0359624	3.39607	.6559561	.06896552	-.1336784	.60482223	.1258684	-.1794034	1.342051492	3.923536	7.802618
1	2	2	.04888726	.116736919	.400344	.049683	1.888237	1.271605	.1578072	.1081372	.58121848	.07584211	.08551041	.790758763	1.975198	7.344884
1	2	5	.1140999	.211337641	.8749253	.3098436	2.890736	2.962842	1.049253	.3713908	.46010625	.1255656	.5796259	1.560690045	1.783798	6.204639
1	2	7	.6853357	.749284779	.3855239	.005701805	.06134802	-15.31758	-.2265433	7.319138	-7.98113571	9.964502	.4106926	.056112157	.1455478	7.262779
1	2	5	.2079207	.345246698	.1417233	.08737527	.0557672	13.46189	8.299528	3.906359	-1.53026406	1.646132	.1311955	.033585126	.2369768	8.244694
1	2	5	.0916803	.321324987	.7576111	.1358901	16.15788	1.122303	.2013035	.01790839	.71468044	.1254188	.08256051	4.610157986	6.085124	7.168454
1	1	5	.7342061	.68904285	.4050052	.0169826	.07457341	3.443171	.1443784	3.616596	-.69854088	1.450491	.2873795	.079461322	.1961983	8.232259
1	2	5	-.01074716	-.067626784	.9427085	.03305741	3.752298	3.529539	.1237683	1.132996	.84108132	.007833609	.6756174	.596310244	.63255	7.718764
1	2	2	.5186107	.75673859	.1149807	.05192402	.02264121	3.165504	1.429508	5.069273	-3.00457604	4.12961	.07865764	.015516553	.1349493	7.172025
1	2	2	.2095885	.342740336	.3809457	.01096825	.02196529	14.11985	.4065409	26.35255	-.54408749	1.14699	.3539662	.013431951	.0352595	7.647027
1	1	2	.5724461	.720430625	.411108	.0005849813	.03584474	5.30153	.007543748	11.71143	-4.90727603	5.16992	.3335629	.02848183	.06928064	8.899051
1	1	2	.06249253	.33404926	.9440545	.005532935	10.29238	1.165764	.006832337	.06971785	.81292421	.03774348	.1342386	1.925455826	2.03956	8.857363
1	1	0	.8559933	.395774762	.7080726	.009122767	.1057206	5.028402	.06478565	2.480839	-1.09340567	2.196859	.567258	.228655684	.3229269	7.442328
1	2	5	.1009461	.284750579	.8819393	.04412259	5.77111	1.366306	.068355	.1155715	.64549303	.08844183	.2364475	2.045898761	2.319773	6.669768
1	1	5	.09655	.164589488	.9391659	.1500659	3.784567	2.371499	.3789332	.2446519	.41338902	.06502805	.5431439	2.220068293	2.363872	6.709304
