"PROVINCIA" "POBLACION" "URBAN" "VEGROW" "BIRTH" "FECUND" "DEATH" "VEGROWR" "DOMMIG" "FORMIG" "MIGBAL" "MIGRATE" "X2539POP" "X2539ADU" "HOUSEPR" "ACTIRATE" "UNEMPR" "CHILDEP" "SOCWELF" "RESTLEV" "TOURLEV" "OVERNPR" "RDBPC"
"41" "Sevilla" 1747441 81 4200 10.7 39.9 8.3 2.4 36516 3896 2158 1.24 0.257391889225 0.383371109676 843 55.4 19.6 27.4 3 3459 2671 1.358325915315 81.450596334723
"42" "Soria" 91314 37.5 -482 6.8 31.4 12.1 -5.3 1954 569 424 4.66 0.21693839082 0.281589377441 811 53.7 4.3 19.3 7 179 132 0.267722642426 107.747503151362
"43" "Tarragona" 612086 61.9 -204 9.3 36.9 9.7 -0.3 26393 4762 12520 20.92 0.241573761672 0.334124324803 825 61.9 8.3 21 7 1694 2424 4.384396759483 110.511005527005
"44" "Teruel" 136233 32 -851 6.9 32.7 13.1 -6.2 3062 728 358 2.62 0.207091227605 0.271919820621 572 46 5.6 21.3 4 271 160 0.254915680932 106.806942693688
"45" "Toledo" 536131 30.9 -54 10.1 41.9 10.2 -0.1 14942 3324 5705 10.81 0.235064529655 0.335114338983 609 52.6 11.7 27.2 2 1255 397 0.790563818261 83.079608261418
"46" "Valencia" 2227170 77.2 -519 9.3 35.4 9.6 -0.2 56911 20374 23171 10.52 0.252407970997 0.351695994156 763 56.2 11.2 20.4 8 5383 2669 5.319811811631 101.425385435858
"47" "Valladolid" 497961 71.8 -538 7.5 28.2 8.6 -1.1 10223 1353 742 1.5 0.247545643995 0.334334793042 1069 55.9 13.8 17.3 9 1329 457 0.523207740088 103.665276835063
"48" "Vizcaya" 1132616 76.9 -1513 7.6 28.8 8.9 -1.3 24765 4550 576 0.51 0.248027634935 0.326109489025 1683 52 11.2 16.2 7 2183 807 0.761611497565 123.795209929216
"49" "Zamora" 202356 40.3 -1511 5.7 26.8 13.2 -7.4 3993 288 -307 -1.51 0.199347028982 0.258301334201 677 39.5 10.2 18.3 1 436 162 0.310197180658 92.582177833802
"50" "Zaragoza" 857565 77.7 -2091 8.3 33.6 10.8 -2.5 13050 2023 1758 2.07 0.240009050246 0.32031645599 1033 51.4 5.9 18.7 8 2889 1168 1.096240158937 110.753418016096
